 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
ah 1.40959917228e-102 9.98335661851e-103 1.60367307901e-102 6.59177736607e-103 8.36533006119e-103 8.53004986087e-103 6.68900900166e-103 5.50203070972e-51 4.91606935993e-103 7.73665796169e-103 5.39113543036e-103 1.30627747418e-102 8.96216914219e-103 7.81664439093e-103 7.29728044582e-103 0.00529433051574 3.69123398574e-102 5.95230775027e-103 9.63364296894e-103 4.45848203199e-103
alive 1.40959917228e-102 9.98335661851e-103 1.60367307901e-102 2.26403501349e-40 8.36545530398e-103 8.53004986087e-103 0.00668900900166 7.56278456769e-103 4.91606935993e-103 7.73665796169e-103 5.39113543036e-103 1.30627700611e-102 8.96216914219e-103 7.81664439093e-103 7.29728044582e-103 5.29433051574e-103 3.69123398574e-102 5.95230775027e-103 9.63364296894e-103 4.45848203199e-103
all 8.36764069978e-48 2.03413586047e-46 0.0320734597888 6.59286033373e-103 1.23535686601e-11 8.53004986087e-103 6.70149100807e-103 0.0182522869229 0.00491606935993 0.0390190826243 0.0107822694971 3.40028567638e-34 0.0174684536688 2.04815388611e-95 2.00944259346e-29 0.0213233226445 3.75737159207e-102 0.0271809377181 9.63364315152e-103 4.46232829902e-103
allege 1.40959917228e-102 9.98335662619e-103 1.60367307901e-102 6.59177736607e-103 8.36533006119e-103 8.53004986087e-103 0.00668900900166 7.56278456769e-103 4.91606935993e-103 7.7368239577e-103 5.39113543036e-103 1.30627700611e-102 8.96216914219e-103 7.81664439093e-103 7.29728044582e-103 5.29433051574e-103 3.69123398574e-102 5.95230775027e-103 9.63364296894e-103 4.45848203199e-103
alone 1.40961527307e-102 9.99801309338e-103 1.60367307901e-102 6.59177736607e-103 8.3688750206e-103 8.53004986087e-103 6.68900900166e-103 7.56278456769e-103 4.65303573504e-39 3.91118140229e-67 0.0107808114803 1.30630122002e-102 8.96216914225e-103 8.28230354723e-28 7.2972836019e-103 5.29433051574e-103 3.69833374551e-102 5.95295459267e-103 0.0289035367341 4.45848203199e-103
am 1.41109586619e-102 9.98335661851e-103 0.0331181687088 6.59177736607e-103 8.445243796e-103 8.53004986087e-103 6.68900900166e-103 0.00972606185594 4.91606935993e-103 2.23760015924e-93 5.39113543036e-103 1.30627700611e-102 0.0259661510233 7.81664439093e-103 7.29728044582e-103 5.29433051578e-103 3.69123398574e-102 0.0102074092226 9.63364296894e-103 0.00462184336498
an 0.0140959917228 9.98335661872e-103 1.60367307944e-102 6.59177736607e-103 8.36533006119e-103 8.53004986087e-103 6.68969602371e-103 2.07755677937e-29 4.91606935993e-103 7.73665796169e-103 5.39113543036e-103 1.30627700611e-102 8.96216914219e-103 7.81693952691e-103 7.29728044582e-103 5.29433051574e-103 3.69123398574e-102 0.00595230775027 9.63364296894e-103 4.45848203199e-103
and 1.4148987769e-102 3.54115709543e-33 1.60367345425e-102 2.97411502259e-66 0.0431985806292 8.53047400083e-103 0.0488290713554 0.0239631386864 4.91606935993e-103 0.259191393136 0.0299855796811 0.0792920053439 0.0121062101585 8.70877015212e-53 1.17137643033e-10 0.147621350905 3.93356228836e-97 5.95230775027e-103 9.63371712773e-103 1.82356462649e-30
angel 1.40959917228e-102 9.98335661852e-103 1.60367307901e-102 6.59177736607e-103 0.00836533006118 8.53004986087e-103 6.68900900166e-103 7.56278456769e-103 4.91606935993e-103 1.27097931958e-14 5.39113543036e-103 1.30627712152e-102 8.96216914219e-103 7.81664440649e-103 7.29728044582e-103 5.29433051574e-103 3.69123398574e-102 5.95230775027e-103 9.63364296894e-103 4.45848203199e-103
another 1.40959917228e-102 9.98335661851e-103 1.60367307901e-102 6.59177736607e-103 8.36533006119e-103 8.53004986087e-103 6.68909920096e-103 7.56278456769e-103 4.91606935993e-103 7.73665821244e-103 0.00539113543036 1.32092863138e-102 8.96216914219e-103 7.81664439908e-103 7.29728044582e-103 5.29433051574e-103 3.69123398574e-102 5.95230775027e-103 9.63364296894e-103 4.45848203199e-103
answer 1.40959917228e-102 9.98335661851e-103 1.60367307901e-102 6.59177736607e-103 8.36533006119e-103 8.53004986087e-103 0.00668900900166 3.46699276442e-96 4.91606935993e-103 7.73665796169e-103 5.39113543036e-103 1.30627700611e-102 8.96216914219e-103 7.81664439093e-103 7.29728044582e-103 5.29433051574e-103 3.69123398574e-102 5.95230775027e-103 9.63364296894e-103 4.45848203199e-103
