 0 1 2 3 4
conscience 0.00194337240107 1.01167866359e-204 0.0 0.0 0.0
consider 0.00194337240107 0.0 2.12621522616e-226 0.0 0.0
contented 6.86124824285e-266 0.0 0.0 0.00334871338076 0.0
contents 0.0 0.0 0.0 0.0 0.00341576226701
control 0.0 0.0 0.0 0.0 0.00341576226701
count 0.0 0.00170039560501 0.0 0.0 0.0
counted 0.00194337240107 0.0 0.0 5.98465640817e-301 0.0
crave 0.0 0.0 0.0 0.0 0.00341576226701
creatures 0.0 0.0 0.0 0.00167435669038 0.0
cries 0.0 0.0 0.0 0.00167435669038 0.0
crowned 0.0 0.00170039560501 0.0 0.0 0.0
cruel 0.00388674480215 0.0 0.0 0.0 0.0
cry 0.0 0.0 0.0 0.0 0.00341576226701
cupid 0.0 0.0 0.00221078793428 0.0 0.0
dark 0.00194337240107 0.0 0.0 0.0 0.0
darling 0.0 0.00170039560501 0.0 0.0 0.0
day 0.0 0.0 0.0 0.0 0.010247286801
days 0.00583011720322 0.0 0.0 0.0 0.0
dead 0.0 0.0 0.0 0.0 0.00341576226701
deaf 0.00194337240107 1.14582060035e-233 0.0 0.0 0.0
dear 0.00807916808276 0.0 0.00186304691892 0.0 0.00341576226701
dearest 0.00388674480215 0.0 4.58600342776e-76 0.0 0.0
dearth 0.0 0.0 0.0 0.0 0.00341576226701
death 0.00583011720322 0.0 0.0 0.0 0.0
decay 0.0 0.0 0.0 0.0 0.00341576226701
decayed 0.0 0.0 0.0 0.0 0.00341576226701
decease 0.0 0.0 0.0 0.0 0.00341576226701
decrepit 0.0 0.00170039560501 0.0 0.0 0.0
dedicated 0.0 0.00170039560501 0.0 0.0 0.0
deem 0.0 0.0 0.0 0.0 0.00341576226701
deemed 0.0 0.0 0.0 0.0 0.00341576226701
deface 0.0 0.0 0.0 0.0 0.00341576226701
defaced 0.0 0.0 0.0 0.0 0.00341576226701
defect 0.0 0.0 0.0 0.0 0.00341576226701
delight 0.0 0.0 0.0 0.0 0.00341576226701
deny 0.0 0.0 0.0 0.00167435669038 0.0
depart 0.0 0.0 0.0 0.0 0.00341576226701
depends 0.0 0.0 0.0 0.0 0.00341576226701
desire 0.00198788680037 0.00166144677108 0.0 1.89859166578e-228 0.00341576226701
despair 0.0 0.0 0.0 0.0 0.00341576226701
despise 0.0 0.0 0.0 0.0 0.00341576226701
despite 0.0 0.00170039560501 0.0 0.0 0.0
devouring 0.0 0.0 0.00221078793428 0.0 0.0
did 0.00670723867617 0.00153246239589 0.0 0.00610708438123 0.0
didst 0.00269165258269 0.00104567171811 0.0 0.0 0.0
die 0.0 0.0 0.0 0.0 0.00341576226701
disgrace 0.0 0.0 0.0 0.00167435669038 0.0
dispatch 0.0 0.0 0.0 0.0 0.00341576226701
disposed 0.0 0.00170039560501 0.0 0.0 0.0
do 0.00679436091854 0.00183369885957 0.00676196501356 0.0173577411277 0.0
done 0.0 0.0 0.0 0.0 0.00341576226701
dost 1.18962016166e-41 0.00659513448333 0.00247920347606 0.0 0.0
doth 0.00397628626254 0.0 0.0110359093142 0.00663393570507 0.0
doting 0.00194337240107 0.0 0.0 0.0 0.0
down 0.001952844285 0.00169210797584 0.0 0.0 0.0
drained 0.0 0.00170039560501 0.0 0.0 0.0
dreams 0.0 0.00170039560501 7.05258507122e-276 0.0 0.0
drunk 3.83314888336e-226 0.00170039560501 0.0 0.0 0.0
due 0.0 0.0 0.0 0.0 0.00341576226701
dull 0.0 0.0 0.00221078793428 0.0 0.0
dun 0.0 0.0 0.0 0.0 0.00341576226701
each 0.0 0.0 0.00221078793428 0.0 0.0
earth 0.0 0.0 0.0 0.00167435669038 0.00341576226701
eased 0.00194337240107 0.0 0.0 0.0 0.0
easy 0.0 0.00170039560501 0.0 0.0 0.0
eclipses 0.0 0.0 0.00221078793428 0.0 0.0
embassage 0.0 0.0 0.0 0.0 0.00341576226701
end 0.0 0.0 0.00221078793428 0.0 0.0
endeared 0.0 0.0 0.00221078793428 0.0 0.0
enough 0.0 0.00141115619602 0.0 0.00195916684758 0.0
epitaph 1.83398717395e-35 0.00170039560501 0.0 7.34713597536e-205 0.0
esteemed 0.0 0.0 0.0 0.0 0.00341576226701
esteeming 0.0 0.0 0.0 0.0 0.00341576226701
eternity 0.0 0.0 0.0 0.0 0.00341576226701
ever 0.00388674480215 0.0 0.0 0.0 0.0
every 0.0116602344064 0.0 0.0 0.0 0.0
evil 0.00194337240107 0.0 0.0 0.0 0.0
exceed 0.0 0.0 0.0 0.0 0.00341576226701
excellent 0.0 0.0 0.0 0.0 0.00341576226701
excuse 1.00870374757e-123 0.0 0.0 0.00167435669038 0.0
expense 0.0 0.00170039560501 0.0 0.0 0.0
express 0.0 0.0 0.0 0.0 0.00341576226701
eye 0.0 0.0153035604451 0.0 0.0 0.00683152453402
eyes 0.00204761743976 0.0 0.00226442050496 0.00321918157385 0.0102454468778
face 2.53569904289e-138 0.00510118681504 0.0 0.0 0.0
faint 0.0 0.00170039560501 0.0 0.0 0.0
fair 2.36706895501e-297 0.00510118681504 0.0 0.0 0.00683152453402
fairer 0.00194337240107 0.0 0.0 0.0 0.0
fairest 0.0 0.00170039560501 0.0 0.0 0.0
faith 0.0 0.00170039560501 0.0 0.00167435669038 0.0
false 0.0 0.00170039560501 0.0 0.0 0.0
famished 0.00194337240107 0.0 0.0 0.0 0.0
fangled 0.0 0.0 0.0 0.00167435669038 0.0
farewell 0.0 0.0 0.00221078793428 0.0 0.0
fast 5.37427524682e-109 0.00340079121003 0.0 0.0 0.0
father 0.0 0.0 0.0 0.00167435669038 0.0
fault 1.08018631407e-156 0.00170039560501 0.0 0.0 0.00341576226701
faults 0.0 0.00170039560501 0.0 0.0 0.0
favour 0.0 0.0 0.0 0.00167435669038 0.0
fear 0.0 0.00170039560501 0.0 0.0 0.0
fears 0.00194591965157 0.00169816683324 1.80191440733e-31 0.0 0.00341576226701
feeding 8.37791274584e-196 0.00166309533353 0.00225928429001 0.0 0.0
fell 0.00583011720322 0.0 0.0 0.0 0.0
felt 0.0 0.00170039560501 0.0 0.0 0.0
fever 0.0 0.00170039560501 0.0 0.0 0.0
fierce 0.0 0.00340079121003 0.0 0.0 0.0
fight 0.0 0.0 0.0 0.0 0.00341576226701
fill 0.0 0.0 0.0 0.0 0.00341576226701
filled 1.63283196695e-223 0.00170039560501 0.0 0.0 0.0
finds 0.0 0.0 0.0 0.0 0.00341576226701
fingers 0.0 9.33181524631e-266 0.0 0.00167435669038 0.0
fire 0.0 0.00170039560501 0.0 0.0 0.00341576226701
first 0.0 0.00340079121003 0.0 0.0 0.0
fled 0.0 0.0 0.0 0.0 0.00683152453402
flesh 0.0 0.00170039560501 0.0 0.0 0.0
food 0.00194337240107 0.0 0.0 0.0 0.0
fool 0.0 0.0 0.0 0.00167435669038 0.0
for 0.0211875858014 0.000874245348291 0.0144747006855 0.00173475080275 0.0
forbid 0.0 0.00170039560501 0.0 0.0 0.0
force 0.0 0.00170039560501 0.0 0.0 0.0
forfeit 0.0 0.00170039560501 0.0 0.0 0.0
forget 0.00194337240107 0.0 0.0 0.0 0.0
forgetst 0.0 0.00170039560501 0.0 0.0 0.0
forgot 0.0 0.0 0.00221078793428 0.0 0.00341576226701
forsake 0.00194337240107 0.0 0.0 0.0 0.0
forsworn 0.0 0.0 0.0 0.0 0.00341576226701
forth 0.0 0.0 0.0 0.0 0.00341576226701
fortify 0.0 0.00170039560501 0.0 0.0 0.0
fortune 0.00397135921507 2.19157780983e-158 0.00165109739631 0.00369969770197 0.0
fortunes 0.00194337240107 0.0 0.0 0.0 0.0
forty 0.0 0.00170039560501 0.0 0.0 0.0
found 0.0 0.0 0.00221078793428 0.00167435669038 0.0
frame 0.00194337240107 0.0 0.0 0.0 0.00341576226701
freezings 0.0 0.00170039560501 0.0 0.0 0.0
fresh 0.0 0.00340079121003 0.0 0.0 0.0
friend 0.0 0.0 0.0 0.00167435669038 0.0
from 4.29919504482e-186 0.00432634169631 0.012061363023 0.0 0.0
full 0.0 0.0 0.00221676099374 0.00501854633012 0.0
function 0.0 0.00170039560501 0.0 0.0 0.0
furrows 0.00194337240107 0.0 0.0 0.0 0.0
fury 0.0 0.00170039560501 0.0 0.0 0.0
garments 0.0 0.00170039560501 0.0 0.0 0.0
gazed 0.0 0.00170039560501 0.0 0.0 0.0
gentle 0.0 0.00170039560501 0.00221379404153 0.00167207999268 0.0
gently 0.00194337240107 0.0 0.0 0.0 0.0
gift 0.0 0.00170039560501 0.0 0.0 0.0
gilded 0.00194337240107 0.0 0.0 0.0 0.0
give 0.0 0.00151076393234 0.00241505257175 0.00170638310593 0.0
gives 0.0 0.0 0.0 0.00334871338076 0.0
gladly 0.0 0.0 0.0 0.0 0.00341576226701
glance 0.00194337240107 0.0 0.0 0.0 0.0
glass 0.0 0.00510118681504 0.0 0.0 0.0
glorious 0.0 0.0 0.0 0.00167435669038 0.0
glory 0.0 0.00170039560501 0.0 0.0 0.0
god 0.00195823118973 0.0 0.00219388451903 0.0 0.0
goes 0.00194337240107 0.0 0.0 0.0 0.0
golden 0.0 0.0 0.0 0.00334871338076 0.0
gone 0.00194337240107 0.0 0.0 0.0 0.0
good 6.56651166209e-84 0.00170039560501 0.0 0.0 0.0
gored 0.0 0.0 0.00221078793428 0.0 0.0
got 0.00194337240107 0.0 0.0 0.0 0.0
grace 0.0 0.00170039560501 0.0 0.0 0.0
gracious 0.00206963666307 0.0 0.00206714922313 0.0 0.0
grant 0.0 0.0 0.00442157586855 0.0 0.0
great 0.00194084628163 0.0 0.0 0.00167653312604 0.0
green 0.0 0.0 0.0 0.00167435669038 0.0
grief 0.0 0.0 0.0 0.0 0.00341576226701
grieved 0.0 0.0 0.00221078793428 0.0 0.0
groan 0.0 0.0 0.0 0.0 0.00341576226701
grows 0.0 0.0 0.0 0.0 0.00341576226701
growst 0.0 0.0 0.0 0.0 0.00341576226701
halt 0.0 0.0 0.0 0.0 0.00341576226701
hand 0.00971686200537 0.0 9.30336570271e-184 0.0 0.0
hap 0.00194337240107 0.0 0.0 0.0 0.0
happy 0.0 0.00170039560501 0.0 0.0 0.0
hast 0.00489272164198 0.00252059007294 0.0 0.0 0.0
haste 2.18403649621e-200 0.00340079121003 0.0 0.0 0.0
hate 0.0 0.00170039560501 1.83558939503e-303 0.0 0.00683152453402
hath 0.0114332706333 2.96241050033e-102 0.00241461450501 0.00673860299226 0.0
have 4.42291118719e-131 0.0 0.00742761317124 0.0211643489491 0.0
he 0.0 0.00510118681504 0.0 0.0 0.0
head 0.0 0.0 0.0 0.0 0.00683152453402
hear 0.0 0.00170039560501 0.0 0.0 0.0
hearst 0.00194337240107 4.53982172201e-145 0.0 0.0 0.0
heart 0.0 0.0119027692351 0.0 4.84383987321e-229 0.00683152453402
hearts 0.0 0.0 0.0 0.0 0.00341576226701
heaven 0.00404493267744 8.12210164323e-133 0.0 0.00153806632875 0.0
heavy 0.0 0.00170039560501 0.0 0.0 0.0
heir 0.0 0.0 0.0 0.0 0.00341576226701
held 0.0 0.0 0.0 0.0 0.00341576226701
hence 0.0 0.00170039560501 0.0 0.0 0.0
her 0.00681568982197 0.0 0.0 0.00417392756651 0.0
here 1.50574344106e-281 0.00170039560501 0.0 0.0 0.0
him 0.0 0.0 0.00221078793428 0.0 0.0
his 0.00368914556228 1.16625032711e-160 0.00629963573365 0.00879402364972 0.0
hold 0.0 0.0 0.0 0.00334871338076 0.0
holds 0.00194337240107 0.0 0.0 0.0 0.0
homage 0.0 0.00170039560501 0.0 0.0 0.0
hopes 0.0 0.00340079121003 0.0 0.0 0.0
hour 0.00194337240107 0.0 0.0 0.0 0.0
hours 0.0 0.00510118681504 0.0 0.0 0.0
how 1.4358611603e-243 0.00100154855179 0.025227280913 0.0 0.0
huge 0.0 0.0 0.0 0.00167435669038 0.0
hurt 0.0 0.00170039560501 0.0 0.0 0.0
huswife 0.0 0.0 0.0 0.00167435669038 0.0
idle 0.0 0.00170039560501 0.0 0.0 0.0
idolatry 0.0 0.0 0.0 0.0 0.00341576226701
if 0.00547391946022 7.04402233583e-24 0.0203023033339 1.57332028411e-85 0.0
ill 0.00193148933575 0.0 0.0 0.00168576811139 0.0102448932253
image 0.0 0.00170039560501 0.0 0.0 0.0
immured 0.00194337240107 0.0 0.0 0.0 0.0
impression 0.00194337240107 0.0 0.0 0.0 0.0
imprint 0.0 0.0 0.0 0.00167435669038 0.0
in 0.0169681491606 0.0219037922724 0.0115767526655 0.0136470798302 0.0
increase 0.0 0.0 0.0 0.0 0.00341576226701
infection 0.0 0.00170039560501 0.0 0.0 0.0
inhearse 0.0 0.0 0.0 0.0 0.00341576226701
ink 0.00194337240107 0.0 0.0 0.0 0.0
interest 0.0 0.0 0.0 0.0 0.00341576226701
invent 0.0 0.0 0.0 0.0 0.00341576226701
invention 0.00194337240107 0.0 0.0 0.0 0.0
invoked 5.68491798888e-219 0.00170039560501 0.0 0.0 0.0
is 0.0159427613619 0.00996835325068 0.0126879705936 0.0304659912812 0.00682883568482
issueless 0.00194337240107 0.0 0.0 0.0 0.0
ist 0.0 0.0 0.00221078793428 0.0 0.0
it 0.0154755487509 0.00856447764489 1.95935269364e-221 7.12064665739e-61 0.0
jaws 0.0 0.0 0.0 0.0 0.00341576226701
join 0.0 0.0 0.00221078793428 0.0 0.0
jollity 0.0 0.0 0.0 0.0 0.00341576226701
journey 1.75963404027e-96 0.00340079121003 1.36562123311e-192 0.0 0.0
judgement 0.00194337240107 0.0 0.0 0.0 0.0
judgment 0.00206589228754 0.0 0.00207140883917 0.0 0.0
just 0.0 0.00170039560501 0.0 0.0 0.0
justify 1.45305290657e-173 0.00170039560501 0.0 0.0 0.0
keen 0.0 0.00170039560501 0.0 0.0 0.00341576226701
keep 0.00194337240107 0.0 0.0 0.0 0.00341576226701
key 0.0 0.0 0.0 0.0 0.00341576226701
kindling 0.0 0.0 0.0 0.00167435669038 0.0
kissing 0.0 0.0 0.00221078793428 0.0 0.0
knew 0.0 0.00170039560501 4.83393432866e-256 0.0 0.0
know 0.0 0.00340079121003 0.0 0.0 0.0
knows 0.00186850276387 0.0 2.09263767766e-198 0.00173886232908 0.0
knowst 0.00388674206569 2.39431871165e-09 0.0 0.0 0.0
labouring 0.00194337240107 6.33393719583e-225 1.63827691574e-185 0.0 0.0
lack 0.0 0.00170039560501 0.0 0.0 0.0
laid 0.0 0.00340079121003 0.0 0.0 0.0
lame 0.0 0.0 0.0 0.00167435669038 0.0
lameness 0.0 0.00170039560501 0.0 0.0 0.0
languished 0.00194337240107 0.0 0.0 0.0 0.0
league 0.0 0.0 0.0 0.00167435669038 0.0
lease 1.711170371e-241 0.00170039560501 0.0 0.0 0.0
leaves 0.0 0.0 0.0 0.00167435669038 0.0
left 0.0 0.0 0.00221078793428 0.0 0.0
lend 0.0 0.0 0.0 0.00167435669038 0.00341576226701
less 0.0 0.0 0.0 0.0 0.00341576226701
lest 0.0 0.0 0.00442157586855 0.0 0.0
let 0.0 0.0 0.0132647276057 0.0 0.0
liberty 0.00194337240107 0.0 0.0 0.0 0.0
lie 3.01832656436e-203 0.00170039560501 0.0 0.0 0.00341576226701
lies 0.0 0.0 0.0 0.0 0.00341576226701
life 0.00221455033614 0.00486391383087 0.0 0.0 0.00341576226701
light 0.0 0.0 0.0 0.0 0.00683152453402
like 1.22933832046e-288 0.00337688542926 0.00445265723075 0.0 0.0
line 0.00194337240107 0.0 0.0 8.78883970939e-197 0.0
lines 0.0 0.00170039560501 0.0 0.0 0.0
lions 0.00194337240107 0.0 0.0 0.0 0.0
lips 0.0 0.00170039560501 0.0 0.0 0.0
little 0.00194337240107 0.0 1.13554402391e-202 0.0 0.0
live 0.0 3.69139606398e-298 0.0 0.00502307007114 0.0
livery 0.0 0.00170039560501 0.0 0.0 0.0
lo 0.0 0.0 0.00442157586855 0.0 0.0
lofty 0.0 0.0 0.0 0.00167435669038 0.0
long 0.0 0.0 0.0 0.0 0.00341576226701
longer 0.000956522350462 0.0 0.00333343235571 0.0 0.0
longing 0.0 0.0 0.0 0.00167435669038 0.0
look 0.0 0.00168276755513 0.00223370723604 0.0 0.00341576226701
looks 0.0 0.0 0.0 0.00167435669038 0.0
lord 0.0 0.0 0.00221078793428 0.0 0.0
lost 0.0 0.00170039560501 3.09088812472e-210 0.0 0.0
love 0.0241076447928 0.0363839811152 0.00485838520364 0.0 0.0
loved 0.0 0.00170039560501 0.0 0.0 0.0
loveliness 0.0 0.00170039560501 0.0 0.0 0.0
lovely 0.0 0.0 0.00221078793428 0.0 0.0
loves 0.00204692899081 0.00671097334793 0.0 0.0 0.0
loving 3.7704213275e-142 0.00340032000271 0.0 0.00167482068189 0.0
lovst 1.77983909444e-284 0.00170039560501 0.0 0.0 0.0
luck 0.0 0.0 0.0 0.0 0.00341576226701
lying 0.00194337240107 0.0 0.0 0.0 0.0
made 0.0 0.00510118681504 0.0 0.0 0.00341576226701
make 9.47053076778e-30 0.00673656554943 0.00229007706516 0.00167911968538 0.00682990888026
makes 0.0 0.00340079121003 0.0 0.0 0.0
making 0.0 0.0 0.0 0.00167435669038 0.0
maladies 0.00194337240107 0.0 0.0 0.0 0.0
man 0.0 0.00170039560501 0.0 0.0 0.0
manners 0.00388674480215 0.0 0.0 0.0 0.0
many 0.0 0.00510118681504 0.0 0.0 0.00341576226701
map 4.65552531158e-225 0.00170039560501 0.0 0.0 0.0
marble 0.0 0.0 0.00221078793428 0.0 0.0
marriage 5.04969591684e-25 0.00170039560501 0.0 0.0 0.0
married 0.00194337240107 0.0 0.0 0.0 0.0
may 0.00388674480215 0.0 0.00221078793428 0.0 0.00341576226701
mayst 0.00388674480215 0.0 0.0 0.0 0.0
me 0.012235717675 0.0122501359771 0.00906654755567 0.0224339351212 0.00341576226701
meadows 0.0 0.00170039560501 0.0 0.0 0.0
memory 0.00194337240107 0.0 0.0 0.0 0.0
mens 0.00194337240107 0.0 0.0 0.0 0.0
merchandized 0.00194337240107 0.0 0.0 0.0 0.0
might 0.0 0.0016543696938 0.0 0.00339543072282 0.00682867612974
mightier 3.91442193079e-07 0.0 0.0 0.00167401943446 0.0
mind 0.0 0.00170039560501 0.0 0.0 0.00341576226701
minds 0.0 0.00170039560501 0.0 0.0 0.00341576226701
mine 0.0103086729201 1.66657381883e-292 0.0114834562059 0.00950307799786 0.00281981720267
mistress 0.0 0.00170039560501 0.0 0.0 0.0
monuments 0.0 0.0 0.0 0.0 0.00341576226701
moon 0.0 0.00170039560501 0.0 0.0 0.0
more 0.00976819648376 0.00490393421067 0.00240884976368 0.0 0.00341576226701
morning 0.0 0.00170039560501 0.0 0.0 0.0
mortal 0.0 0.0 0.0 0.00167435669038 0.0
most 0.00388170022467 0.0017048094669 0.0 0.0 0.0
mourn 0.00194337240107 6.42442518234e-193 4.29064637911e-118 0.0 0.0
